neuron_id,direction,cluster,nearest_cross_cluster,dist_to_nearest_cross,distance_metric
221089_132,FB,1,5,0.17386559574669622,euclidean
221089_133,FB,1,5,0.2641918106316441,euclidean
221090_105,FB,6,2,0.2630291539217374,euclidean
221364_072,FB,4,6,0.0974619292497326,euclidean
221365_084,FB,3,1,0.3589233710251424,euclidean
221478_204,FB,1,5,0.2799237190358663,euclidean
221478_212,FB,1,5,0.8522792189074384,euclidean
221478_215,FB,1,5,0.17386559574669622,euclidean
221479_143,FB,1,5,0.17386559574669622,euclidean
221479_148,FB,1,5,0.6621388074682822,euclidean
221703_171,FB,1,5,0.10684870740180819,euclidean
221703_173,FB,1,5,0.7700830809651821,euclidean
221703_176,FB,1,5,0.16916463454264152,euclidean
221719_053,FB,4,6,0.8877960358036733,euclidean
221719_055,FB,1,5,0.5700348564968111,euclidean
220191_016,FB,3,1,0.13347511638683665,euclidean
221416_014,FB,3,1,0.08605102300453746,euclidean
221416_016,FB,1,5,0.44036462855370717,euclidean
221416_020,FB,3,1,0.08605102300453746,euclidean
221474_208,FB,1,5,0.17386559574669622,euclidean
221476_040,FB,1,5,0.43557153492621753,euclidean
221476_054,FB,3,1,0.08605102300453746,euclidean
221476_060,FB,3,1,0.48558152993354414,euclidean
221476_079,FB,1,5,0.17386559574669622,euclidean
221476_081,FB,1,5,0.17386559574669622,euclidean
221476_095,FB,3,1,0.9362932119825492,euclidean
221476_101,FB,1,6,0.6986030636397129,euclidean
221478_205,FB,4,3,0.6590980875191109,euclidean
220191_014,FB,3,1,0.08605102300453746,euclidean
221475_222,FB,3,1,0.08605102300453746,euclidean
221476_055,FB,2,1,0.5677197606452695,euclidean
221476_078,FB,3,1,0.2548739870558056,euclidean
221365_038,FB,5,4,0.419579445041203,euclidean
221365_064,FB,5,4,0.08308167341628206,euclidean
221367_114,FB,3,1,0.08605102300453746,euclidean
221367_129,FB,1,5,0.1685747439161,euclidean
221476_037,FB,3,1,0.5307713382214939,euclidean
221476_039,FB,5,4,0.08308167341628206,euclidean
221478_229,FB,5,4,0.6828263805407058,euclidean
221511_042,FB,1,5,0.17386559574669622,euclidean
233285_043,FB,6,4,0.8311417128029345,euclidean
233285_096,FB,1,5,0.21220345187903575,euclidean
233795_121,FB,5,4,0.08308167341628206,euclidean
233285_042,FB,6,2,0.08912164195888038,euclidean
221475_122,FB,5,4,0.28957168374556563,euclidean
221622_013,FB,4,6,0.31756424948042533,euclidean
221622_016,FB,1,5,0.13746380610256403,euclidean
221702_017,FB,1,5,0.17386559574669622,euclidean
221705_020,FB,1,5,0.17386559574669622,euclidean
233795_034,FB,1,5,0.07377478361503675,euclidean
233795_035,FB,1,5,0.11855128945511877,euclidean
221705_024,FB,1,6,0.5814349335895088,euclidean
221063_064,FB,3,5,0.8519764916234219,euclidean
221063_065,FB,1,5,0.17386559574669622,euclidean
221063_072,FB,3,1,0.08605102300453746,euclidean
221065_116,FB,1,6,0.5834482612373109,euclidean
221419_058,FB,1,5,1.0091623533593326,euclidean
221419_060,FB,2,1,0.5189113362109241,euclidean
221419_063,FB,5,4,0.08308167341628206,euclidean
221423_021,FB,1,5,0.3389648512726818,euclidean
221423_072,FB,3,1,0.9026259121095421,euclidean
221705_019,FB,1,5,0.17386559574669622,euclidean
231688_014,FB,3,1,0.11896609234633602,euclidean
221065_097,FB,2,1,0.804723305949973,euclidean
221423_001,FB,2,1,0.47631940716205423,euclidean
221423_002,FB,2,1,0.5981401199285873,euclidean
221423_004,FB,3,1,0.08605102300453746,euclidean
221423_008,FB,3,5,1.0404164460914844,euclidean
221423_026,FB,1,6,0.7303575521456364,euclidean
221423_066,FB,2,4,0.7029232176210717,euclidean
231688_019,FB,4,6,0.09204912516650435,euclidean
221423_027,FB,5,4,0.08308167341628206,euclidean
221423_067,FB,1,5,0.17386559574669622,euclidean
221481_263,FB,1,5,0.17386559574669622,euclidean
231688_021,FB,1,5,0.17386559574669622,euclidean
231688_025,FB,1,5,0.20551387808436314,euclidean
231688_015,FB,1,5,0.17386559574669622,euclidean
221478_836,FB,1,6,0.7670522869512861,euclidean
221481_220,FB,3,1,0.9645679012499139,euclidean
221481_226,FB,6,2,0.4230579709617354,euclidean
221481_558,FB,1,5,0.38367012899712477,euclidean
221481_607,FB,4,3,0.45849706503849325,euclidean
221701_063,FB,1,5,0.4954564791782559,euclidean
221701_064,FB,1,5,0.8643987677072366,euclidean
221701_065,FB,1,5,0.3278568505512065,euclidean
221701_066,FB,4,6,0.37804771176959295,euclidean
221751_096,FB,1,5,0.049178885493622135,euclidean
230110_031,FB,4,6,0.2653456381066303,euclidean
231570_001,FB,1,6,0.6506260497997537,euclidean
231570_007,FB,4,6,0.6103326304206429,euclidean
233668_074,FB,1,5,0.5155139766410698,euclidean
233668_079,FB,1,5,0.8522792189074384,euclidean
233668_082,FB,5,4,0.2552483551021625,euclidean
233668_083,FB,1,5,0.5706785313109322,euclidean
233668_084,FB,4,3,0.6590980875191109,euclidean
233668_085,FB,1,5,0.17386559574669622,euclidean
233668_086,FB,3,1,0.08605102300453746,euclidean
233668_087,FB,1,5,0.15117184439199827,euclidean
233668_088,FB,1,6,0.6569452917677744,euclidean
233668_089,FB,1,5,0.2400563087605363,euclidean
233668_090,FB,1,5,0.2035236668570631,euclidean
233668_091,FB,1,5,0.5173698838117369,euclidean
233668_092,FB,1,5,0.14195106289283088,euclidean
233668_093,FB,1,5,0.5408243910218345,euclidean
233795_037,FB,1,5,0.17386559574669622,euclidean
233795_038,FB,1,5,0.5782105557275675,euclidean
233795_039,FB,1,5,0.166769578649926,euclidean
233795_040,FB,1,5,0.06734118167902146,euclidean
233795_041,FB,1,5,0.4806897932531797,euclidean
233795_042,FB,1,5,0.11436822350183745,euclidean
233795_043,FB,1,5,0.7477535750512774,euclidean
233795_045,FB,1,5,0.7670192723315392,euclidean
233795_046,FB,1,5,0.23944732997361787,euclidean
233795_048,FB,1,5,0.29802767254790746,euclidean
233795_049,FB,1,5,0.500538025165931,euclidean
233795_050,FB,6,2,0.6129215867460627,euclidean
233795_053,FB,1,5,0.2721281471004317,euclidean
233795_055,FB,1,5,0.13746380610256403,euclidean
233795_082,FB,1,5,0.37295139013981254,euclidean
233795_128,FB,1,5,0.17386559574669622,euclidean
233795_135,FB,1,5,0.2817918214413472,euclidean
221481_221,FB,1,5,0.16801751067706333,euclidean
221481_223,FB,1,5,0.1340767217064848,euclidean
221481_225,FB,1,5,0.11059241643850903,euclidean
221481_550,FB,1,5,0.22351002727073244,euclidean
221481_593,FB,1,5,0.593593818350881,euclidean
221481_603,FB,1,5,0.19008277692527795,euclidean
221481_604,FB,1,5,0.15404628452543306,euclidean
221481_606,FB,1,5,0.0940647322350207,euclidean
230061_041,FB,1,2,0.9151230771837872,euclidean
231686_052,FB,1,5,0.9424856481747351,euclidean
231686_053,FB,1,5,0.1485315305523015,euclidean
231686_054,FB,1,5,0.20367469163104415,euclidean
221225_002,FB,1,5,0.17386559574669622,euclidean
221225_007,FB,3,1,0.08605102300453746,euclidean
221367_245,FB,2,1,0.6366737310232425,euclidean
221426_079,FB,1,6,0.6569452917677744,euclidean
221481_222,FB,1,5,0.2387589354533885,euclidean
221713_001,FB,4,3,0.5439013091071567,euclidean
231686_056,FB,1,5,0.319183392631578,euclidean
231687_019,FB,1,5,0.35684449047216454,euclidean
231687_020,FB,3,5,1.0433891523010188,euclidean
233667_287,FB,5,4,0.34000889360186787,euclidean
233667_288,FB,1,5,0.17060894086142794,euclidean
221065_092,FB,3,1,0.08605102300453746,euclidean
221065_093,FB,3,1,0.08605102300453746,euclidean
221424_044,FB,2,1,0.6410645421736846,euclidean
221426_076,FB,2,1,0.5230786118035191,euclidean
221225_001,FB,1,5,0.17386559574669622,euclidean
221225_003,FB,1,5,0.3848527657793623,euclidean
221225_004,FB,1,5,0.34100493476920013,euclidean
221225_005,FB,1,5,0.3677194996858645,euclidean
221225_006,FB,1,5,0.16311315895316866,euclidean
221225_008,FB,1,5,0.15492692933328456,euclidean
221225_011,FB,1,5,0.17386559574669622,euclidean
221225_012,FB,1,5,0.2013981430247244,euclidean
221225_013,FB,5,4,0.49265685464431686,euclidean
221225_014,FB,5,4,0.20891664926628395,euclidean
221225_017,FB,1,4,0.8572708313745682,euclidean
221225_019,FB,1,5,0.8039229363534084,euclidean
221225_020,FB,1,5,0.1951509180990828,euclidean
221226_008,FB,1,5,0.25835492377028113,euclidean
221226_009,FB,5,4,0.4920408338957878,euclidean
221226_016,FB,5,4,0.35262356446141024,euclidean
221226_025,FB,1,5,0.8896545304297757,euclidean
221226_026,FB,1,5,0.17237465763550724,euclidean
221424_042,FB,2,1,0.6338192377039659,euclidean
231687_022,FB,1,5,0.6465161794261965,euclidean
221513_058,FB,1,5,0.49561925428976183,euclidean
221516_004,FB,2,4,0.7234032920391077,euclidean
221516_010,FB,5,4,0.2366320208802954,euclidean
231687_033,FB,5,4,0.2525170024635228,euclidean
233281_010,FB,6,2,0.4230579709617354,euclidean
233281_119,FB,6,2,0.4949284470987407,euclidean
233281_121,FB,6,2,0.6519984605113144,euclidean
221475_127,FB,3,1,0.08605102300453746,euclidean
221481_338,FB,3,1,0.08605102300453746,euclidean
221519_043,FB,1,5,0.1023343848675197,euclidean
221519_058,FB,5,4,0.08308167341628206,euclidean
221622_002,FB,6,2,0.386666639345757,euclidean
221622_007,FB,1,5,0.9626775024322959,euclidean
221622_011,FB,1,6,0.6287505443412948,euclidean
221622_047,FB,4,6,0.30703415378695353,euclidean
