 ,221065_113,221475_122,221622_013,221622_016,221702_016,221702_017,221705_020,230110_035,233795_033,233795_034,233795_035,221705_024,221063_064,221063_065,221063_072,221065_116,221419_058,221419_060,221419_063,221423_021,221423_072,221705_019,231688_014,221065_097,221423_001,221423_002,221423_004,221423_008,221423_026,221423_066,231688_019,221423_027,221423_067,221481_263,231688_021,231688_025,231688_015
="or",="0",="0",="1",="0",="2",="0",="1",="0",="1",="1",="0",="1",="3",="1",="0",="5",="2",="1",="5",="6",="8",="0",="3",="1",="2",="5",="1",="24",="5",="7",="1",="1",="0",="2",="0",="0",="1"
="scwm",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="2",="1",="1",="1",="5",="0",="1",="0",="0",="0",="0",="0",="0"
="VISl1",="0",="2",="0",="1",="1",="6",="0",="0",="0",="1",="7",="4",="0",="0",="0",="2",="10",="1",="0",="0",="2",="6",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="4",="0",="0",="0",="7"
="VISl2/3",="0",="1",="0",="0",="1",="1",="1",="0",="0",="1",="6",="2",="0",="0",="0",="1",="2",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="1",="0",="0",="0"
="VISl4",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="5",="1",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0"
="VISl5",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="9",="0",="1",="1",="1",="0",="0",="0",="0",="15",="3",="3",="2",="0",="4",="0",="0",="0",="9",="0",="0",="2"
="VISl6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="8",="0",="0",="0",="0",="1",="0",="0",="6",="18",="12",="1",="8",="0",="7",="0",="0",="0",="0",="0",="0",="0"
="VISp4",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="0",="4",="3",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0"
="VISp5",="0",="4",="1",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="8",="1",="8",="1",="2",="3",="0",="1",="2",="22",="19",="0",="10",="3",="19",="1",="6",="0",="0",="0",="9",="0"
="VISp6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6",="0",="1",="15",="0",="11",="0",="4",="9",="0",="4",="2",="36",="24",="3",="8",="5",="14",="1",="0",="0",="0",="0",="4",="0"
="VISpl1",="0",="9",="0",="0",="2",="13",="13",="0",="0",="6",="3",="0",="0",="0",="0",="0",="1",="0",="5",="0",="0",="10",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="1",="0",="2",="0",="0"
="VISpl2/3",="0",="5",="0",="0",="5",="7",="1",="0",="5",="8",="1",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="4",="0",="0",="0",="0",="0",="0",="2",="0",="8",="0",="0",="0",="0",="0",="0"
="VISli1",="0",="2",="8",="18",="1",="8",="0",="0",="0",="2",="4",="4",="0",="0",="0",="0",="5",="0",="3",="1",="1",="7",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="12"
="VISli2/3",="0",="0",="3",="9",="0",="1",="0",="0",="1",="1",="1",="10",="0",="0",="0",="0",="7",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0"
