 ,221701_056,231687_008,233379_037,233795_072,221090_098,221417_015,221418_139,231686_050,233379_030,233379_097,233379_130,233666_218,221090_092,221090_093,221091_113,221091_125,221418_127,221418_131,221418_132,221418_135,221418_150,221477_059,221515_017,231687_014,233379_123,233667_269,233284_183
="VISpl4",="0",="0",="0",="0",="244.4876",="66.0882",="141.3497",="0",="370.5976",="0",="832.2023",="0",="102.4605",="11.3198",="689.4106",="287.0981",="0",="0",="11.4661",="0",="0",="942.1998",="0",="116.4396",="0",="237.1961",="0"
="VISpl5",="0",="0",="0",="0",="183.2485",="2526.7502999999997",="2185.3869",="0",="720.0924",="0",="2873.8955",="0",="1577.7494",="1339.6145",="3073.1401",="998.5853",="0",="1151.0201",="2684.698",="0",="0",="732.3383",="0",="25.5943",="0",="874.807",="0"
="VISpor1",="0",="0",="0",="0",="1159.1097",="0",="0",="0",="0",="0",="5644.2065",="0",="215.2761",="1104.023",="0",="70.9224",="0",="0",="0",="0",="0",="114.7864",="0",="2979.9946",="0",="1459.8475",="0"
="ACAv1",="0",="0",="0",="0",="1282.808",="31.5368",="0",="3791.7109",="346.654",="508.6885",="2057.9731",="225.3422",="304.9199",="0",="82.9709",="1063.9666",="0",="0",="0",="223.0708",="0",="6768.4758",="0",="2182.8132",="902.7454",="70.1002",="3840.2279000000003"
="ACAv2/3",="0",="0",="0",="0",="124.3634",="5472.9763",="0",="1204.8518",="0",="43.1332",="1704.3385",="4075.4933",="1152.9722",="0",="788.7941",="1186.0893",="0",="0",="0",="2761.771",="0",="1401.855",="0",="3331.7356",="1166.323",="0",="354.4051"
="RSPagl2/3",="0",="0",="0",="0",="4466.3306",="3047.4696",="551.7962",="0",="102.4602",="179.2932",="15.7742",="1708.7796",="0",="0",="3373.5766999999996",="18743.0513",="2603.0326",="1501.937",="9389.759",="0",="4373.4884",="3515.2969999999996",="497.2893",="1410.703",="1420.2017",="0",="0"
="RSPagl5",="0",="0",="0",="0",="1924.2271",="193.6498",="2542.649",="0",="315.5079",="211.897",="667.553",="0",="0",="0",="845.3634",="3555.15",="1862.0087",="693.5824",="2713.8489",="0",="1862.0379",="711.7342",="646.1327",="975.9514",="774.2932",="0",="0"
="RSPd1",="0",="0",="0",="0",="571.4991",="2068.0837",="1052.3504",="0",="403.2374",="5796.791",="49.3923",="0",="0",="0",="2936.0758",="9006.8272",="9880.7137",="2211.8731",="1391.161",="0",="2954.252",="7271.6435",="0",="5649.4368",="0",="0",="0"
="RSPd2/3",="0",="0",="0",="0",="622.7938",="2039.9881",="4088.4503999999997",="0",="763.6986",="432.4455",="0",="0",="0",="0",="3017.5496",="7661.8858",="6008.014499999999",="2636.9371",="2941.7286",="0",="566.2323",="3604.0058",="0",="1418.9313000000002",="0",="0",="0"
="RSPd5",="0",="0",="0",="0",="868.2347",="799.4769",="1149.333",="0",="507.1517",="1214.5471",="856.7175",="0",="0",="0",="343.5067",="3565.4447",="2600.1854",="1956.7906",="911.5649",="0",="477.2914",="1352.7131",="109.99860000000001",="1245.1114",="969.8249",="0",="0"
="RSPv1",="0",="0",="0",="0",="745.9231",="144.9333",="152.52710000000002",="0",="0",="226.8718",="292.9318",="0",="0",="0",="217.6348",="0",="270.3842",="0",="194.7519",="0",="0",="0",="0",="3401.4973",="0",="0",="119.4785"
="RSPv2/3",="0",="0",="0",="0",="1596.0556",="395.2272",="326.34720000000004",="0",="0",="1.7362",="131.8227",="0",="0",="0",="21.8003",="16.1211",="550.7772",="0",="289.5912",="0",="0",="0",="0",="936.0527",="0",="0",="0"
="RSPv5",="0",="0",="0",="0",="398.4413",="962.7249",="1230.2946000000002",="0",="507.678",="0",="396.5868",="0",="0",="113.9739",="0",="203.2952",="677.5745",="124.8716",="469.719",="221.2497",="0",="0",="1227.6453000000001",="519.1104",="759.3387",="0",="271.2315"
