 ,212074_008,221450_029,221450_031,221450_036,221450_037,221477_048,221478_364,221478_812,221481_201,221481_296,221481_299,221481_576,221481_602,221714_039,221737_017,221737_018,221737_048,221751_093,221751_094,221751_095,221751_100,221759_018,221759_019,221759_022,230061_037,230061_038,230110_021,230114_004,230114_005,230114_065,230114_066,233795_056,233795_064,233795_065,233795_066,233795_078,233795_079,212074_015,221419_050,221419_051,221419_052,221419_055,221477_062,221478_848,221480_107,221481_203,221481_205,221481_206,221481_208,221481_293,221481_297,221481_578,221481_625,221481_626,230061_039,230114_008,230114_011,230114_013,230114_015,233379_044,233379_046,233379_141,221422_019,230114_010,230114_023,230114_064,221422_002,221224_022,221225_018,221424_048,221426_066,221426_085,221538_001,221538_002,221538_005,221538_028,233285_130
="VISa4",="3",="0",="0",="0",="2",="5",="4",="1",="0",="0",="4",="6",="2",="1",="0",="5",="0",="1",="4",="4",="9",="0",="0",="6",="1",="0",="1",="2",="2",="1",="4",="1",="0",="0",="0",="0",="1",="1",="2",="2",="1",="0",="0",="2",="13",="0",="0",="0",="0",="0",="2",="3",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISa5",="1",="0",="0",="0",="1",="17",="15",="13",="0",="1",="8",="17",="2",="6",="0",="43",="11",="4",="5",="20",="19",="0",="0",="10",="8",="0",="1",="13",="4",="3",="4",="6",="1",="0",="5",="0",="1",="7",="0",="0",="0",="0",="6",="4",="1",="0",="0",="0",="0",="0",="0",="7",="0",="0",="0",="1",="0",="2",="1",="1",="1",="0",="0",="0",="0",="0",="1",="9",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISrl2/3",="1",="0",="0",="7",="1",="6",="1",="23",="29",="9",="7",="17",="30",="5",="4",="0",="4",="4",="14",="2",="3",="0",="1",="4",="1",="0",="1",="0",="1",="2",="2",="3",="0",="4",="5",="64",="1",="0",="12",="3",="2",="0",="0",="11",="1",="3",="14",="7",="49",="1",="0",="2",="8",="2",="0",="7",="0",="0",="9",="10",="1",="1",="0",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISrl4",="5",="0",="0",="3",="0",="1",="0",="15",="11",="3",="1",="12",="3",="2",="2",="1",="4",="1",="1",="2",="2",="0",="0",="0",="0",="0",="0",="2",="2",="1",="0",="1",="0",="0",="3",="6",="0",="3",="7",="10",="5",="0",="0",="3",="4",="5",="6",="1",="13",="0",="0",="8",="3",="19",="0",="1",="1",="0",="5",="6",="0",="1",="0",="0",="2",="3",="0",="1",="1",="0",="1",="0",="1",="10",="7",="0",="3"
="VISrl5",="3",="0",="0",="9",="1",="2",="0",="37",="4",="13",="13",="27",="6",="5",="7",="2",="4",="3",="4",="9",="0",="3",="0",="0",="4",="0",="0",="1",="2",="3",="0",="6",="0",="0",="3",="17",="6",="0",="2",="0",="2",="0",="0",="0",="2",="2",="2",="0",="5",="0",="0",="1",="2",="9",="0",="0",="0",="0",="8",="2",="0",="1",="0",="0",="0",="0",="8",="23",="2",="1",="2",="0",="5",="2",="7",="0",="0"
="TEa1",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="1",="0",="0",="1",="0",="1",="2",="15",="3",="2",="0",="0",="0",="0",="3",="4",="0",="0",="0",="0",="0",="0",="0",="4",="3",="0",="0",="0",="0",="0",="0",="0",="0",="6",="5",="0",="0",="0",="3",="0",="0",="2",="1",="3",="7",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="6"
="TEa2/3",="3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="2",="0",="0",="0",="0",="0",="5",="14",="5",="0",="0",="0",="0",="3",="0",="2",="0",="0",="0",="0",="0",="0",="0",="11",="2",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="1",="0",="1",="2",="0",="2",="1",="0",="3",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="TEa4",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="2",="0",="0",="0",="3",="1",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="4",="2",="0",="0",="0",="0",="2",="0",="0",="0",="1",="2",="2",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="1"
="TEa5",="1",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="3",="0",="0",="0",="4",="0",="3",="0",="5",="1",="3",="5",="1",="0",="0",="0",="0",="4",="3",="2",="3",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="2",="1",="2",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="8",="0",="0",="0",="8",="4",="0",="25",="0",="9",="0",="0",="0",="0",="0"
="fp",="0",="0",="0",="0",="0",="0",="1",="0",="1",="0",="0",="0",="0",="1",="2",="1",="1",="0",="0",="0",="1",="1",="1",="0",="1",="0",="0",="1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="1",="0",="1",="0",="1",="0",="1",="2",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2"
