 ,221057_058,221057_059,221057_061,221057_062,221057_063,221057_074,221057_075,221057_076,221057_077,221057_078,221364_054,221364_055,221364_130,221364_131,221364_132,221364_134,221364_135,221364_136,221481_476,221703_215,221703_221,221703_248,221703_266,221703_328,221728_157,221728_158,230011_191,230011_192,230011_205,230011_206,230011_208,230011_209,230011_216,230066_130,230066_131,230066_141,230066_142,230116_001,230116_005,221089_035,221229_106,221229_119,221478_225,221479_149,221703_268,231686_047,221089_037,221229_105,221416_017,221474_206,221476_071,221476_092,221478_209,233285_098,221474_195,221474_202,221474_203,221476_070,233282_078,233285_080,233285_081,221367_101,221367_130,233285_099
="VISal4",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="5",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="4",="0",="1",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="VISp1",="0",="1",="4",="38",="2",="44",="12",="26",="20",="52",="0",="0",="0",="3",="5",="6",="0",="19",="4",="2",="5",="53",="4",="0",="3",="38",="0",="0",="0",="0",="0",="0",="0",="0",="24",="9",="16",="0",="1",="21",="12",="6",="5",="0",="25",="0",="10",="21",="30",="0",="67",="0",="27",="0",="0",="1",="0",="0",="2",="6",="5",="0",="66",="0"
="VISp5",="0",="0",="0",="3",="3",="2",="0",="0",="2",="4",="0",="0",="1",="1",="1",="1",="0",="0",="0",="1",="6",="1",="3",="0",="0",="2",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="1",="0",="0",="3",="0",="4",="0",="0",="3",="0",="0",="5",="0",="1",="2",="1",="0",="2",="5",="5",="4",="0",="1",="0",="0",="0",="3",="1"
="VISpm1",="0",="1",="0",="12",="2",="7",="1",="1",="0",="9",="0",="0",="0",="6",="1",="6",="3",="9",="1",="1",="4",="0",="13",="4",="0",="2",="5",="0",="2",="0",="2",="0",="7",="1",="0",="1",="0",="0",="3",="0",="8",="7",="1",="0",="19",="1",="0",="3",="1",="1",="3",="0",="50",="0",="0",="11",="0",="0",="0",="0",="10",="0",="3",="0"
="VISpm2/3",="0",="2",="0",="6",="3",="5",="4",="1",="0",="2",="0",="1",="3",="2",="0",="3",="3",="8",="6",="0",="23",="5",="14",="5",="0",="5",="2",="0",="0",="0",="1",="0",="4",="1",="3",="0",="0",="0",="5",="0",="3",="4",="0",="0",="0",="1",="0",="0",="2",="4",="3",="0",="5",="1",="0",="6",="0",="0",="1",="0",="1",="0",="0",="0"
="ACAv5",="0",="6",="2",="0",="0",="8",="1",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="7",="0",="0",="3",="1",="0",="0",="0",="0",="0",="0",="4",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="0"
="ORBm1",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="2",="2",="0",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0"
="ORBm6a",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="ORBvl1",="0",="2",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="14",="1",="0",="0",="0",="8",="0",="0",="32",="69",="0",="0",="0",="0",="0",="28",="0",="0",="0",="0",="0",="0",="0",="0"
="ORBvl2/3",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="5",="2",="0",="0",="0",="0",="0",="0",="0",="38",="0",="0",="0",="0",="0",="38",="0",="0",="0",="0",="0",="0",="0",="0"
="ORBvl5",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="3",="0",="0",="0",="0",="0",="0",="0",="3",="3",="0",="0",="0",="0",="0",="7",="0",="2",="0",="0",="0",="0",="0",="0"
="RSPd1",="0",="2",="1",="0",="1",="0",="0",="0",="3",="0",="0",="14",="0",="13",="0",="1",="0",="0",="0",="0",="6",="0",="0",="0",="0",="0",="0",="0",="0",="1",="4",="1",="0",="0",="0",="0",="0",="1",="0",="1",="13",="15",="10",="0",="0",="9",="1",="13",="0",="0",="29",="6",="4",="0",="0",="1",="0",="0",="1",="7",="11",="0",="4",="0"
="RSPd2/3",="0",="3",="0",="0",="1",="0",="6",="0",="1",="0",="0",="13",="0",="0",="0",="2",="1",="0",="0",="0",="1",="0",="0",="3",="1",="0",="0",="0",="0",="0",="5",="0",="0",="1",="0",="3",="0",="0",="0",="2",="6",="4",="1",="0",="0",="3",="1",="6",="0",="0",="7",="1",="0",="0",="0",="0",="0",="2",="2",="1",="0",="0",="3",="0"
="RSPd5",="0",="3",="0",="0",="2",="0",="3",="0",="1",="0",="0",="2",="1",="1",="0",="2",="0",="0",="0",="0",="1",="0",="2",="2",="0",="0",="0",="0",="1",="0",="6",="2",="2",="4",="0",="2",="1",="0",="0",="2",="5",="7",="0",="0",="0",="1",="0",="10",="0",="0",="3",="6",="0",="0",="3",="3",="0",="3",="2",="1",="1",="0",="0",="0"
="VISrl1",="0",="2",="5",="19",="4",="0",="7",="2",="0",="0",="1",="0",="0",="0",="0",="4",="0",="14",="0",="8",="1",="0",="30",="0",="2",="2",="0",="0",="0",="0",="0",="0",="0",="3",="4",="0",="10",="0",="0",="4",="0",="0",="3",="0",="0",="0",="1",="6",="1",="0",="3",="0",="20",="0",="0",="0",="0",="0",="2",="0",="0",="0",="10",="0"
="VISrl2/3",="0",="0",="1",="6",="1",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="2",="0",="2",="0",="0",="0",="0",="14",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="2",="0",="0",="0",="0",="2",="0",="0",="0",="0",="0",="1",="0",="0",="0",="0",="0"
